longitude,latitude,harbor,country_code
-14.087742695306645,65.03844920210793,reydarfjordur,is
-14.248492412063,65.03714044603214,reydarfjordur,is
-14.247707138675963,65.02493706019374,reydarfjordur,is
-14.083708362163094,65.02446371756335,reydarfjordur,is
-14.087742695306645,65.03844920210793,reydarfjordur,is
-21.94279097516588,64.1610399803611,reykjavik,is
-21.95151476886224,64.16020414686571,reykjavik,is
-21.95959906768797,64.15218864455093,reykjavik,is
-21.933992089690804,64.14831944045235,reykjavik,is
-21.927900383105708,64.15271322311537,reykjavik,is
-21.928163534249563,64.16025333778447,reykjavik,is
-21.937150603274915,64.16144969106347,reykjavik,is
-21.94279097516588,64.1610399803611,reykjavik,is
-19.64874850513661,65.76089755358115,saudarkrokur,is
-19.65502645423692,65.7542856438445,saudarkrokur,is
